GEOID,district
4019004418,1
3,1
4019004422,1
4019004423,1
4021000201,1
4019004426,1
4021000204,1
4019004428,1
4021000206,1
4019004430,1
4021000208,1
4019004431,1
4019004432,1
4021000211,1
4021000212,1
4013814801,1
4019004433,1
4021000215,1
4021000216,1
4021000217,1
4021000218,1
4021000219,1
4021000220,1
4021000221,1
4021000222,1
4021000223,1
4021000224,1
4021000225,1
4021000226,1
4021000227,1
4021000228,1
4021000229,1
4013813800,1
4013813300,1
4013422647,1
4013422648,1
4013422649,1
4019001400,1
4021002300,1
4013812802,1
4013816901,1
4013816902,1
4013816903,1
4013816904,1
4013816401,1
4013816402,1
4019000401,1
4019000402,1
4019004505,1
4019004506,1
4019004508,1
4019004510,1
4019004511,1
4019004512,1
4019004513,1
4021000802,1
4019004514,1
4021000804,1
4021000805,1
4021000806,1
4021000807,1
4021000808,1
4019004515,1
4021000311,1
4021000316,1
4021000319,1
4013813900,1
4019002000,1
4013813400,1
4019001500,1
4013817500,1
4013812900,1
4013817000,1
4013816501,1
4013816502,1
4019000501,1
4019000502,1
4013816002,1
4013816003,1
4013816004,1
4013816005,1
4021000902,1
4021000903,1
4021000904,1
4019004610,1
4019004613,1
4019004614,1
4019004615,1
4019004616,1
4019004617,1
4019004618,1
4021000400,1
4019004624,1
4019004625,1
4019004626,1
4019004627,1
4019004628,1
4019004646,1
4019004647,1
4019004648,1
4019004649,1
4019002602,1
4019002603,1
4019002604,1
4013814000,1
4019002100,1
4013813500,1
4019001600,1
4013817600,1
4013813000,1
4019001100,1
4013817101,1
4013817102,1
4013817103,1
4021002005,1
4013816600,1
4019000600,1
4013816100,1
4021001000,1
4013815601,1
4019002702,1
4019002703,1
4019002704,1
4013814100,1
4019002202,1
4013813600,1
4019001700,1
4013813100,1
4013817200,1
4019001200,1
4013522801,1
4013522802,1
4013816700,1
4019000700,1
4019004436,1
4013816200,1
4019004437,1
4021001100,1
4019004438,1
4019004439,1
4019004440,1
4021000604,1
4019002801,1
4019002802,1
4013813700,1
4021941200,1
4013813200,1
4019001302,1
4019001303,1
4019005400,1
4021002200,1
4019001304,1
4013816800,1
4019000800,1
4019000300,1
4013816301,1
4013816302,1
4021001200,1
4013815800,1
4019004412,1
4019004413,1
4019004414,1
4019004419,2
4027012100,2
6,2
7,2
8,2
4019004424,2
4019004425,2
17,2
4027011601,2
19,2
4027011602,2
4019004434,2
4019004435,2
4019002400,2
4027011107,2
4027011108,2
4019940900,2
4027011112,2
4027011114,2
4027011116,2
4027011117,2
4027011118,2
4027011119,2
4027011120,2
4027011121,2
4027011122,2
4027011123,2
4027011124,2
4027011125,2
4021941300,2
4013817400,2
4027000901,2
4027000902,2
4027000903,2
4027000907,2
4027000908,2
4027000909,2
4027000910,2
4027000402,2
4027000403,2
4027000404,2
4021001303,2
4021001305,2
4021001306,2
4021001307,2
4021001308,2
4021001309,2
4021001310,2
4019980400,2
4027011700,2
4027011202,2
4027011203,2
4027011204,2
4019002503,2
4019002504,2
4019002505,2
4019941000,2
4019002507,2
4019002508,2
4019002509,2
4021941401,2
4021941402,2
4019004062,2
4019004065,2
4019004066,2
4015953405,2
4015953406,2
4027001001,2
4019004073,2
4027001003,2
4027001004,2
4019004074,2
4013723305,2
4013723306,2
4021001900,2
4019004082,2
4027000501,2
4027000502,2
4021001403,2
4021001404,2
4021001405,2
4021001406,2
4021001407,2
4021001408,2
4019004109,2
4019004110,2
4019004112,2
4019004114,2
4019004115,2
4019004116,2
4019004117,2
4019004118,2
4027011801,2
4027011802,2
4019004122,2
4019004126,2
4019004127,2
4019004128,2
4019004129,2
4019004130,2
4027980003,2
4027980004,2
4027980005,2
4027980006,2
4019004131,2
4019004132,2
4019004133,2
4019980001,2
4019980002,2
4019941100,2
4027001100,2
4019005200,2
4021002001,2
4021002004,2
4027000600,2
4019004415,2
4021001500,2
4019000100,2
4027000100,2
4019003702,2
4019003704,2
