tract,pop,p_dem,p_rep,G18USSDSIN,G18GOVDGAR,G18SOSDHOB,G18ATGDCON,G18TREDMAN,G18SPIDHOF,G18MNIDPIE,G20PREDBID,G20USSDKEL,G18USSRMCS,G18GOVRDUC,G18SOSRGAY,G18ATGRBRN,G18TRERYEE,G18SPIRRIG,G18MNIRHAR,G20PRERTRU,G20USSRMCS
4001942600,1549,602.2521461282973,110.47120849930073,543.4099316309424,498.29520142392397,563.3628497592947,548.0912967822344,546.0575781346437,559.2694704484006,549.1186324595739,797.1827329306315,815.4816215850312,91.8314187077173,129.01388485169448,102.73734256600977,111.9478412181399,115.31655630193879,96.10466398818174,109.92050554080043,119.737553606199,117.63110971302515
4001942700,4491,1511.4551396488573,317.19377396255175,1329.0117213374901,1301.8599930001324,1397.384202088135,1325.6551133415514,1331.5754098995478,1372.9415557802517,1353.0617235706923,2051.296495667235,2140.310042154679,261.81927055694115,273.0299503151735,249.65044414845931,297.96915250618565,305.7538246545517,264.35026284178724,277.64195934782674,491.0434918711944,433.48560942084583
4001944000,5348,1764.29700547135,378.44692938569506,1571.7053647748135,1436.760602103701,1637.0463646190194,1576.8623669125643,1576.807847039191,1639.033249654282,1617.2841920474384,2395.7022037625056,2427.4708583286356,308.13791705012875,425.5168164377137,306.4083809147518,364.5444162302025,372.4243970209615,305.39095720161833,324.18584169722317,495.1872220000418,504.22641591861446
4001944100,5495,1944.4766184961388,199.7801656629447,1751.1835725522387,1698.389896754162,1835.9192310792666,1783.6025140452325,1762.2138169104192,1828.1065876108007,1792.0230879955016,2503.068110233604,2545.782749284025,157.74030322148553,209.64863300045732,154.89121715150378,191.91800342286405,230.12561091597013,159.63736221371792,192.61545928759185,251.37693151708547,250.06797023582644
4001944201,4021,1058.1278472594781,184.25044914434872,918.0763167628363,897.1703087252517,985.0011973992064,934.6203643430905,920.6118816459461,967.312431354041,951.7882860938072,1470.2610644482388,1478.3087745628854,163.96418642628214,182.14628161587254,147.1012688055496,194.40609789246608,200.7715378471288,159.17008934765016,172.95389893720173,212.39122884500853,225.3494525819789
4001944202,3608,1117.1315526422034,180.21745862230932,977.3331324353904,947.2086791757611,1049.1055612303974,1006.9265912400663,980.9670343703714,1041.0162046247394,1029.1763055422246,1506.329142984371,1516.1213221765097,165.0618913624582,191.48889889891916,140.1549012054598,181.29370132746266,200.97936523541136,151.69184516286424,161.3038400249394,208.5589752253155,221.4237091579535
4001944301,3789,1223.2120862848972,151.8250704838814,1069.5499082248862,1013.755457313476,1118.897803040672,1092.3810878721824,1067.781816582275,1114.1210371276452,1091.5461232608386,1706.3719067821412,1734.5036363599586,137.02345757404407,167.05150480061448,122.66275909877402,137.8401296594064,159.4314545261126,121.9312390144493,140.53507490316704,199.5667934316939,180.3832213466708
4001944302,2685,1028.1613327148527,144.4024341553719,936.317287421435,859.9692213404632,991.5193434142153,946.79292902232,940.8172269306825,995.3928007308602,972.4835633366015,1275.6582076926697,1334.5014145444272,131.40928422613803,200.80157898245983,108.8098875262825,142.54259347216956,145.74978987875585,99.04716208390929,120.90921102574842,193.8737975763271,156.4786026265567
4001944901,3369,1239.6778670411925,179.8248430611349,1138.301790313321,1068.178811418588,1196.0129999733658,1164.1241923197629,1155.3441563920292,1199.681553009785,1186.0071863671171,1506.0759189986607,1543.3741945781023,149.2320042932238,221.8939184467468,155.78829148907843,166.53703702752057,185.27807906606228,139.673335918686,151.65650494494824,229.15484755625644,219.20956880769168
4001944902,4201,1721.8387431174158,249.36792974148986,1577.81633932146,1464.1724308482417,1632.7968120154471,1597.8059110335598,1593.6310791340852,1650.158359313476,1624.7950913736433,2128.756420262448,2226.6162447543816,195.91818363170972,309.9253490880619,203.20388800888273,229.5454434737851,234.5937815740685,183.3940394287541,203.46354598777614,363.2963803709197,320.970756109451
4001945001,4133,1374.4262133507082,269.91383975488407,1214.3962884084438,1136.877104544206,1274.7594742835483,1226.4014389263384,1208.35536083981,1261.4933068001676,1274.180809711267,1863.749080092577,1909.6230565500139,216.2989454190939,298.62423175081955,225.71015584219512,261.15519685456707,286.61605320767023,223.38674241146643,224.7930538356646,341.75860986770357,350.8815686047763
4001945002,3589,1289.7776534573334,290.92316294891367,1189.628048772352,1088.0619437851908,1233.068288935031,1180.61505729653,1161.7422111099222,1234.371233833487,1198.4109679735739,1632.8498855795735,1689.2512438303397,239.09456064711713,338.54811523750317,244.43672289124,279.82707473373637,298.48536016291126,232.75792953714478,264.5682131697838,366.88574146409053,353.70474869669596
4001945100,2132,541.6451231439496,237.47920037936044,469.7037076553748,421.8101893838357,512.5926913843691,499.87353961056283,498.86895172045877,517.4591891170979,505.7446252333956,706.7940250733529,741.9591891170979,197.0310482795412,275.1158708989064,207.76556415044013,209.75020005334756,214.6412376633769,200.93897039210455,208.75174713256868,318.9849026407042,304.3332622032542
4001970201,2569,207.30025263590636,1020.9014731862017,205.96510096560783,148.38191690431154,209.56122496536324,181.6873518049922,192.56810244129045,223.23747582493402,196.71999533097448,241.13398377738315,266.44712170830024,921.83730903608,995.1475293280338,940.3107605092698,949.0720301895223,934.1740974545938,900.9576205843871,923.1317591062079,1330.728881799929,1292.7532706677912
4001970202,2610,265.24266623527996,988.3891121405021,265.46344745199184,189.23673712246733,269.84162120243707,252.02936722105176,240.19689704337986,272.68014213387556,253.50111445099574,301.5632812056212,342.6713882856991,880.3807868150805,968.9851714981573,897.4491423235335,904.6597409120894,920.147082216387,879.6462750844734,892.0105244639318,1303.3195018395036,1248.9037841113618
