0,1,2,3,4
245,40130610542025,6,8,177.0
246,40130610181018,8,6,177.0
247,40210003191000,5,7,177.0
248,40210003191002,5,7,177.0
249,40210003161051,7,5,177.0
250,40134207081014,1,3,177.0
251,40050015002084,7,2,177.0
252,40050015002085,7,2,177.0
253,40050015003065,7,2,177.0
254,40250016053053,7,2,177.0
255,40190004012040,4,7,177.0
258,40130405321090,2,9,177.0
259,40136174002009,9,2,177.0
260,40131036063013,3,9,177.0
261,40130405121017,8,2,177.0
262,40250014012000,2,7,177.0
263,40130101023004,7,2,177.0
264,40131105013012,5,8,177.0
266,40136168003000,9,3,177.0
267,40210003191035,5,7,177.0
268,40131035024004,3,9,177.0
269,40210003161060,7,5,177.0
270,40132168311001,9,3,177.0
271,40210013101035,6,5,177.0
272,40210013101048,6,5,177.0
273,40131163003018,8,5,177.0
275,40190046141000,4,7,177.0
277,40134222111011,1,5,177.0
278,40210019001112,6,7,177.0
279,40130101031010,3,7,177.0
281,40131167383000,5,8,177.0
282,40131167381012,5,8,177.0
283,40131167381011,5,8,177.0
284,40131167323025,5,8,177.0
285,40131167323024,5,8,177.0
286,40131167323026,5,8,177.0
287,40131167361007,8,5,177.0
288,40131167361006,8,5,177.0
289,40210008041025,5,7,177.0
290,40135229043011,1,5,177.0
291,40131117002028,5,3,177.0
292,40131116023003,3,5,177.0
294,40210020042061,7,6,177.0
295,40130927212001,9,8,177.0
296,40130927212002,9,8,177.0
297,40134222111009,1,5,177.0
298,40134222112025,1,5,177.0
299,40190045062023,4,7,177.0
300,40190003002029,4,7,177.0
301,40131167361018,8,5,177.0
302,40130405064030,8,2,177.0
303,40131125071001,6,8,177.0
304,40210002012097,7,5,177.0
305,40130820282024,8,6,177.0
306,40131138003002,5,3,177.0
307,40131138003001,5,3,177.0
309,40133184003016,1,3,177.0
310,40133184003023,1,3,177.0
311,40131032122008,9,3,177.0
313,40190004011008,7,4,177.0
314,40250015012108,7,2,177.0
315,40250015012117,7,2,177.0
316,40190045143001,7,4,177.0
320,40190045112005,7,4,177.0
322,40134216012000,1,3,177.0
323,40134208003006,3,1,177.0
324,40134208003008,3,1,177.0
326,40130927101013,9,8,177.0
329,40131125023004,6,8,177.0
330,40135229032002,5,1,177.0
331,40210003202014,7,1,177.0
332,40131118002003,5,8,177.0
333,40130506203000,6,2,177.0
334,40130101032121,7,3,177.0
336,40130405321089,2,9,177.0
337,40134201163000,1,7,177.0
338,40131136011011,3,5,177.0
339,40131136011012,3,5,177.0
340,40050015002076,7,2,177.0
343,40131076013016,3,5,177.0
344,40131076013009,3,5,177.0
345,40131124023010,8,6,177.0
346,40136107004007,2,7,162.0
347,40130304023076,7,3,162.0
348,40130304023071,7,3,162.0
349,40131132022003,8,5,162.0
350,40134202144013,1,3,162.0
353,40130610623000,2,8,162.0
354,40136134001011,9,2,162.0
