0,1,2,3,4
258,40210003201017,3,1,326.0
259,40210003201016,3,1,326.0
260,40130101032075,6,8,326.0
262,40138105003012,5,3,326.0
263,40138105001001,5,3,326.0
264,40130820162030,9,5,326.0
268,40131093003003,5,9,326.0
269,40134202071014,3,6,326.0
270,40134202062005,6,3,326.0
271,40130610572009,5,9,326.0
272,40138103001007,3,5,326.0
273,40130506133033,9,5,326.0
277,40134211022010,3,6,326.0
278,40134211022004,3,6,326.0
279,40134211022011,3,6,326.0
282,40131154002014,9,5,326.0
283,40138119002006,1,5,326.0
284,40136169001000,6,7,326.0
285,40190037061013,4,2,326.0
286,40190043272027,2,4,326.0
288,40135230053014,3,5,326.0
289,40135230082009,3,5,326.0
290,40136193001022,7,6,326.0
291,40130101031010,6,8,326.0
292,40131152002016,3,5,326.0
293,40210016003003,2,5,326.0
294,40210016003002,2,5,326.0
295,40130405383024,7,8,326.0
296,40250014034167,8,2,326.0
297,40130405151002,2,8,326.0
298,40134202063002,3,6,326.0
300,40130405392040,8,2,326.0
301,40130405394067,8,2,326.0
302,40130405382003,7,2,326.0
303,40131143021030,9,5,326.0
305,40131096011012,5,9,326.0
306,40131168004001,5,9,326.0
307,40133198011005,5,3,326.0
309,40134202063001,3,6,326.0
310,40131121002000,9,5,326.0
311,40190022022005,4,2,314.0
312,40210003202014,3,1,314.0
313,40130820192012,5,9,314.0
314,40136126002014,6,7,314.0
315,40134210011016,6,3,314.0
316,40134214004001,3,6,314.0
318,40131041001000,7,6,314.0
319,40210016003077,2,1,314.0
320,40210016003076,2,1,314.0
322,40131121001025,5,9,314.0
323,40210021061148,2,1,314.0
324,40130820083000,9,5,314.0
325,40133199103027,5,3,314.0
326,40137233061002,2,5,314.0
327,40137233061003,2,5,314.0
328,40130613001028,9,5,314.0
329,40133198012006,3,5,314.0
330,40131042223005,7,9,314.0
331,40130719036008,7,9,314.0
333,40130506094028,5,9,314.0
334,40159514014027,2,8,314.0
335,40159514014026,2,8,314.0
336,40159514014011,2,8,314.0
337,40190003002046,4,2,314.0
338,40131057011004,6,9,314.0
339,40131096033000,9,5,314.0
340,40131097021000,5,9,314.0
343,40210003213000,3,1,314.0
344,40210003213007,3,1,314.0
345,40190001002001,2,4,314.0
348,40138154011008,1,3,314.0
349,40210019002135,1,2,314.0
350,40210019002136,1,2,314.0
351,40210019002132,1,2,314.0
352,40190044313023,2,1,314.0
353,40190044371036,2,1,314.0
354,40190043243025,4,2,314.0
355,40131057011024,6,9,314.0
356,40131057011023,6,9,314.0
357,40131057011025,6,9,314.0
359,40130506174036,5,2,314.0
360,40210022002056,1,8,314.0
361,40136108002037,8,7,314.0
362,40130506203124,2,5,314.0
363,40132182004010,6,9,314.0
364,40130506121022,5,9,314.0
367,40133198012007,3,5,314.0
368,40131111001003,9,6,314.0
369,40138119003001,5,1,314.0
370,40210019002129,1,2,314.0
371,40135231023006,1,5,314.0
372,40134206042028,3,6,314.0
373,40130610111000,9,7,314.0
374,40135230082012,3,5,314.0
376,40190024003000,2,4,314.0
377,40130927082000,7,9,314.0
378,40130927203001,9,7,314.0
379,40131092003000,9,5,314.0
380,40131092003001,9,5,314.0
382,40131162043011,5,3,314.0
383,40134202063005,3,6,314.0
384,40137233041215,5,2,314.0
385,40130506203166,2,9,314.0
386,40131096013014,5,9,314.0
387,40130506093017,5,2,314.0
388,40130927161001,5,9,314.0
390,40130820102005,9,5,314.0
391,40130927203008,9,7,314.0
392,40131123012000,9,5,314.0
393,40136108002036,8,7,314.0
394,40219412002037,1,5,314.0
395,40210016002033,2,1,314.0
396,40130405394056,8,2,314.0
397,40130101032000,6,8,314.0
398,40130506194014,9,5,314.0
400,40136169002014,6,7,314.0
401,40131127004007,5,9,314.0
402,40131127004008,5,9,314.0
404,40159548021022,2,8,314.0
405,40131092003002,9,5,314.0
406,40130405394053,8,2,314.0
407,40130405394026,8,2,314.0
408,40130405382004,7,2,314.0
409,40132174004019,6,9,314.0
410,40136107001056,8,7,314.0
413,40130405371005,8,7,314.0
414,40210022002052,1,8,314.0
415,40130927203007,9,7,314.0
416,40130405393021,8,2,314.0
417,40130405396040,8,2,314.0
418,40130101031000,6,8,314.0
419,40130101031001,6,8,314.0
420,40131169001019,5,9,314.0
421,40131169001059,5,9,314.0
422,40134201161018,3,1,314.0
424,40134208004000,6,3,314.0
425,40134208004001,6,3,314.0
426,40130820122024,9,5,314.0
427,40130820122021,9,5,314.0
428,40130820122025,9,5,314.0
429,40130820192011,5,9,314.0
430,40138101002017,3,5,314.0
431,40190003002015,4,2,314.0
432,40131093001011,9,5,314.0
433,40131091011001,5,9,314.0
434,40131168002019,9,5,314.0
436,40134202063006,3,6,314.0
437,40131138001007,9,3,314.0
438,40210019001154,1,2,314.0
439,40219413001172,5,1,314.0
440,40131144022025,5,9,314.0
441,40131144022026,5,9,314.0
442,40130506121006,5,9,314.0
443,40136124022022,7,6,314.0
444,40131083013017,6,9,314.0
445,40130820123014,9,5,314.0
446,40131121003001,9,5,314.0
447,40131127004000,5,9,314.0
449,40131036081023,7,6,314.0
450,40136100022060,8,7,314.0
451,40131168004010,5,9,314.0
452,40190043243006,4,2,286.0
453,40131057011021,6,9,286.0
454,40133199054000,3,5,286.0
455,40130613001027,9,5,286.0
456,40210022001107,1,8,286.0
457,40210022001108,1,8,286.0
458,40130927203005,9,7,286.0
459,40130405021004,8,2,286.0
460,40130405021003,8,2,286.0
461,40130405021005,8,2,286.0
462,40134211024000,3,6,286.0
463,40132181002005,6,9,286.0
464,40130405362000,7,8,286.0
465,40130506194012,9,5,286.0
466,40131074011001,9,6,286.0
467,40210022002057,1,8,286.0
468,40130506191013,5,9,286.0
