,0
majmin,2.0
EG,0.22016104365162734
PA,0.07115249343823048
maxmargin,0.5168624255127034
n_cmpttv,3.0
hier_cmpttv,2.4831375744872966
compactness,6383.569108398981
pop_bal,1.3333333333721384
